	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
255783	317	107	117	136	136	84
105372427	80	15	11	9	20	8
728	13	3	24	12	13	11
9704	1142	1266	1314	1635	1731	1278
56917	2842	2168	1622	1784	2171	1896
6543	80	32	74	68	22	36
11133	296	414	508	480	521	473
100505681	103	208	203	230	257	210
8775	881	1583	1684	1812	2385	1397
29998	1692	1213	1266	1578	1695	1316
30846	23	17	137	147	233	217
29997	4261	3219	3623	3990	3652	3336
692091	75	22	24	17	18	10
106144593	28	42	26	33	57	36
6415	4722	3890	4952	4767	5960	4217
1406	15	8	69	27	18	4
100126800	86	11	24	10	15	8
100126798	720	111	207	89	133	83
100169951	148	18	59	25	29	32
100126799	759	119	217	95	143	90
100170219	20	9	36	19	25	13
100169959	83	10	24	11	13	8
100170226	21	10	39	24	28	17
8605	32	37	13	37	35	23
3978	6132	4359	4205	4474	4956	4767
107985293	129	88	44	30	28	49
374920	1857	288	179	211	173	161
22900	1194	2826	3218	3298	3170	2971
100505812	113	96	106	101	126	99
105372429	10	14	21	19	17	10
163071	416	599	756	851	1044	789
93233	66	19	39	45	45	28
